Monthly income,Gender,Earning individual,Responsibility,Mode of income,Network degree,Marriage status,Risk apetite,Location,Age,SIP,AUM,Redemption amount,Redemption count,Months,Cumulative AUM,% Cumulative AUM,AUM/Months,Monthly AUM,Number,Cumulative months,Months moving average
50000-199999,M,Self,Yes,Business,2nd,Single,Moderate,Nagpur,44,0,144082.45,0,0,91,85397309.07,91.80%,1583.323626,1583.323626,131,7509,57.32283598
0-49999,F,Self,Yes,Business,1st,Married,Moderate,other,39,0,144044.86,0,0,49,85541353.93,91.96%,2943.237357,2943.237357,132,7558,57.25933691
50000-199999,M,Self,Yes,Business,1st,Single,Aggresive,Nagpur,27,0,142318.71,0,0,49,85683672.64,92.11%,2907.967308,2907.967308,133,7607,57.19679272
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,52,0,140812.76,456000,7,91,85824485.4,92.26%,1547.392967,6558.381978,134,7698,57.44905546
0-49999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,35,2000,139130.5,0,0,50,85963615.9,92.41%,2782.61,2782.61,135,7748,57.39387727
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,47,5000,137117.04,0,0,25,86100732.94,92.56%,5484.6816,5484.6816,136,7773,57.155687
0-49999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,32,0,135756.74,104000,25,69,86236489.68,92.71%,1967.488986,3474.735362,137,7842,57.24214184
0-49999,M,Alias,No,Business,1st,Single,Moderate,Nagpur,20,5000,134937.95,0,0,24,86371427.63,92.85%,5622.414583,5622.414583,138,7866,57.00125675
50000-199999,M,Self,Yes,Business,1st,Married,Aggresive,Nagpur,45,3000,133209.45,33567.16,1,37,86504637.08,93.00%,3600.255405,4507.475946,139,7903,56.85736282
50000-199999,M,Self,Yes,Business,2nd,Married,Aggresive,Nagpur,43,7000,130768.3,606207.12,11,47,86635405.38,93.14%,2782.304255,15680.32809,140,7950,56.78695308
0-49999,M,Alias,No,Business,3rd,Single,Aggresive,Nagpur,21,5000,129903.88,0,0,32,86765309.26,93.28%,4059.49625,4059.49625,141,7982,56.61115909
0-49999,F,Alias,Yes,Business,1st,Married,Moderate,Nagpur,43,2000,129022.72,0,0,46,86894331.98,93.41%,2804.841739,2804.841739,142,8028,56.53643262
0-49999,M,Alias,No,Business,3rd,Single,Aggresive,Nagpur,19,3000,128666.64,0,0,17,87022998.62,93.55%,7568.625882,7568.625882,143,8045,56.25995407
50000-199999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,40,2000,127333.99,0,0,49,87150332.61,93.69%,2598.652857,2598.652857,144,8094,56.20953772
50000-199999,M,Self,Yes,Business,2nd,Married,Aggresive,Nagpur,34,5000,118336.93,0,0,21,87268669.54,93.82%,5635.091905,5635.091905,145,8115,55.96671332
50000-199999,F,Self,Yes,Business,1st,Married,Aggresive,Nagpur,45,5000,117910.09,0,0,21,87386579.63,93.94%,5614.76619,5614.76619,146,8136,55.72721529
0-49999,M,Self,No,Business,1st,Single,Moderate,Nagpur,24,2000,117081.81,0,0,64,87503661.44,94.07%,1829.403281,1829.403281,147,8200,55.78349273
0-49999,F,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,52,5000,114448.14,130000,2,33,87618109.58,94.19%,3468.125455,7407.519394,148,8233,55.62955021
0-49999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,48,1000,110980.71,31403.99,1,70,87729090.29,94.31%,1585.438714,2034.067143,149,8303,55.72599619
0-49999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,38,2000,110073.56,0,0,7,87839163.85,94.43%,15724.79429,15724.79429,150,8310,55.40115621
0-49999,F,Alias,No,Business,3rd,Married,Moderate,other,64,3000,109314,0,0,30,87948477.85,94.55%,3643.8,3643.8,151,8340,55.23293663
50000-199999,M,Self,Yes,Salaried,3rd,Married,Moderate,Nagpur,41,15000,107422.39,0,0,7,88055900.24,94.66%,15346.05571,15346.05571,152,8347,54.91561468
0-49999,F,Alias,Yes,Salaried,3rd,Married,Moderate,Nagpur,42,15000,106844.87,0,0,7,88162745.11,94.78%,15263.55286,15263.55286,153,8354,54.60244073
50000-199999,M,Self,Yes,Business,2nd,Married,Aggresive,Nagpur,31,15000,104708.39,0,0,8,88267453.5,94.89%,13088.54875,13088.54875,154,8362,54.29982748
0-49999,F,Alias,Yes,Business,1st,Married,Moderate,Nagpur,62,2000,104005.89,0,0,40,88371459.39,95.00%,2600.14725,2600.14725,155,8402,54.20757053
50000-199999,M,Self,Yes,Salaried,2nd,Married,Moderate,other,35,1000,103764.58,0,0,73,88475223.97,95.11%,1421.432603,1421.432603,156,8475,54.32803482
0-49999,M,Self,Yes,Business,3rd,Single,Aggresive,other,41,3000,102960.15,0,0,30,88578184.12,95.22%,3432.005,3432.005,157,8505,54.17307918
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,48,1000,100007.11,0,0,67,88678191.23,95.33%,1492.643433,1492.643433,158,8572,54.25426223
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,49,0,99272.32,1177391.09,11,92,88777463.55,95.44%,1079.046957,13876.7762,159,8664,54.4916568
50000-199999,M,Self,Yes,Business,1st,Married,Aggresive,other,29,4000,96560.31,199318.41,22,78,88874023.86,95.54%,1237.952692,3793.316923,160,8742,54.63858395
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,50,0,96282.85,0,0,49,88970306.71,95.65%,1967.326574,1967.326574,161,8791,54.60319498
50000-199999,F,Self,Yes,Business,2nd,Married,Aggresive,Nagpur,43,5000,95775.17,0,0,19,89066081.88,95.75%,5040.798421,5040.798421,162,8810,54.38342217
50000-199999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,28,15000,91291.63,0,0,7,89157373.51,95.85%,13041.66143,13041.66143,163,8817,54.09272633
0-49999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,36,0,89697.24,25000,1,86,89247070.75,95.94%,1042.991163,1333.688837,164,8903,54.28728287
0-49999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,46,3000,88507.7,0,0,26,89335578.45,96.04%,3404.142308,3404.142308,165,8929,54.11584479
0-49999,M,Alias,Yes,Business,2nd,Married,Moderate,Nagpur,44,4000,86565.09,0,0,20,89422143.54,96.13%,4328.2545,4328.2545,166,8949,53.91032766
0-49999,M,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,35,1000,86289.16,73000,3,88,89508432.7,96.22%,980.5586364,1810.104091,167,9037,54.11445743
0-49999,M,Self,Yes,Salaried,2nd,Single,Moderate,Nagpur,33,5000,86126.59,0,0,13,89594559.29,96.32%,6625.122308,6625.122308,168,9050,53.86972852
0-49999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,45,4000,84742.54,57037.05,3,84,89679301.83,96.41%,1008.839762,1687.852262,169,9134,54.04801415
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,other,35,2000,82709.82,65329.09,2,64,89762011.65,96.50%,1292.340938,2313.107969,170,9198,54.10655524
50000-199999,F,Self,No,Salaried,2nd,Single,Moderate,Nagpur,22,10000,81488.64,0,0,11,89843500.29,96.58%,7408.058182,7408.058182,171,9209,53.85447012
0-49999,F,Alias,No,Business,2nd,Single,Aggresive,Nagpur,21,8000,80935.84,0,0,9,89924436.13,96.67%,8992.871111,8992.871111,172,9218,53.59368832
0-49999,F,Alias,No,Salaried,2nd,Married,Aggresive,other,30,6000,80859.5,0,0,14,90005295.63,96.76%,5775.678571,5775.678571,173,9232,53.36482307
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,45,6000,79716.18,0,0,22,90085011.81,96.84%,3623.462727,3623.462727,174,9254,53.18456547
50000-199999,F,Self,No,Business,1st,Married,Moderate,Nagpur,48,0,78767.28,563579.29,3,81,90163779.09,96.93%,972.4355556,7930.204568,175,9335,53.34351081
0-49999,M,Self,No,Business,3rd,Single,Aggresive,other,40,3000,77441.96,60000,1,30,90241221.05,97.01%,2581.398667,4581.398667,176,9365,53.21087722
0-49999,F,Self,Yes,Business,3rd,Married,Moderate,Nagpur,40,2000,73658.54,0,0,32,90314879.59,97.09%,2301.829375,2301.829375,177,9397,53.09104176
50000-199999,M,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,33,0,73159.77,0,0,63,90388039.36,97.17%,1161.26619,1161.26619,178,9460,53.14671006
0-49999,F,Alias,Yes,Business,3rd,Married,Moderate,Nagpur,40,5000,71614.06,0,0,14,90459653.42,97.25%,5115.29,5115.29,179,9474,52.92801336
0-49999,F,Alias,No,Business,1st,Married,Moderate,Nagpur,63,2000,70701.8,107185.47,3,77,90530355.22,97.32%,918.2051948,2310.224286,180,9551,53.06174662
0-49999,M,Self,No,Business,1st,Single,Moderate,other,26,2000,69202.62,14000,3,38,90599557.84,97.40%,1821.121579,2189.542632,181,9589,52.97853255
50000-199999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,43,2000,68500.85,0,0,7,90668058.69,97.47%,9785.835714,9785.835714,182,9596,52.72590325
50000-199999,M,Self,No,Business,1st,Single,Moderate,other,25,4000,68168.2,0,0,8,90736226.89,97.54%,8521.025,8521.025,183,9604,52.48149941
0-49999,M,Self,Yes,Business,3rd,Married,Moderate,Nagpur,47,5000,66532.78,200000,2,42,90802759.67,97.62%,1584.11381,6346.018571,184,9646,52.42453473
0-49999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,42,6000,65866.64,317231.09,18,91,90868626.31,97.69%,723.8092308,4209.865165,185,9737,52.63305076
0-49999,F,Alias,Yes,Salaried,1st,Married,Moderate,Nagpur,47,2000,60420.22,100000,1,59,90929046.53,97.75%,1024.071525,2718.98678,186,9796,52.66728167
50000-199999,M,Self,Yes,Salaried,2nd,Married,Moderate,other,31,20000,60237.35,0,0,4,90989283.88,97.82%,15059.3375,15059.3375,187,9800,52.40702883
0-49999,M,Self,Yes,Business,3rd,Married,Aggresive,other,30,0,59901.67,0,0,49,91049185.55,97.88%,1223.95782,1223.95782,188,9849,52.38859229
50000-199999,M,Self,No,Salaried,2nd,Single,Moderate,Nagpur,30,5000,59227.69,0,0,12,91108413.24,97.94%,4935.640833,4935.640833,189,9861,52.17489603
0-49999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,43,2000,58692.21,35534.79,2,70,91167105.45,98.01%,838.4601429,1346.1,190,9931,52.26871237
0-49999,F,Alias,No,Business,1st,Married,Aggresive,Nagpur,58,0,58334.39,0,0,49,91225439.84,98.07%,1191.933928,1191.933928,191,9980,52.25128958
0-49999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,74,2000,56936.95,64622.86,2,76,91282376.79,98.13%,749.1703947,1599.471184,192,10056,52.37498078
0-49999,M,Self,No,Business,1st,Single,Moderate,Nagpur,22,20000,56127.95,0,0,2,91338504.74,98.19%,28063.975,28063.975,193,10058,52.11397052
0-49999,F,Alias,No,Business,2nd,Married,Moderate,Nagpur,32,0,55110.8,141139.61,3,49,91393615.54,98.25%,1126.067013,4009.942027,194,10107,52.09761479
0-49999,F,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,45,1000,54901.5,0,0,43,91448517.04,98.31%,1276.77907,1276.77907,195,10150,52.05096036
200000-499999,F,Self,No,Salaried,2nd,Single,Moderate,Nagpur,26,10000,51882.34,0,0,4,91500399.38,98.37%,12970.585,12970.585,196,10154,51.80580239
0-49999,F,Alias,Yes,Business,1st,Married,Aggresive,Nagpur,39,1000,51507.21,0,0,41,91551906.59,98.42%,1256.273415,1256.273415,197,10195,51.75095061
50000-199999,M,Self,Yes,Salaried,1st,Married,Moderate,other,44,3000,51348.38,0,0,21,91603254.97,98.48%,2445.160952,2445.160952,198,10216,51.59564277
0-49999,M,Self,No,Business,2nd,Single,Moderate,other,22,1000,51319.95,0,0,44,91654574.92,98.53%,1166.3625,1166.3625,199,10260,51.55747372
0-49999,F,Alias,Yes,Business,1st,Married,Moderate,Nagpur,46,5000,50969.8,473475.99,21,91,91705544.72,98.59%,560.1076923,5763.140549,200,10351,51.75468635
50000-199999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,47,4000,50826.34,108145.46,1,85,91756371.06,98.64%,597.9569412,1870.256471,201,10436,51.92008592
0-49999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,64,2000,50223.45,0,0,10,91806594.51,98.69%,5022.345,5022.345,202,10446,51.71256074
0-49999,F,Alias,No,Business,2nd,Single,Aggresive,Nagpur,21,7000,47826.97,0,0,19,91854421.48,98.75%,2517.208947,2517.208947,203,10465,51.55141512
0-49999,F,Alias,Yes,Business,2nd,Married,Moderate,other,39,0,43597.82,0,0,49,91898019.3,98.79%,890.8247923,890.8247923,204,10514,51.53861877
0-49999,F,Alias,No,Business,1st,Married,Moderate,Nagpur,68,0,42793.06,0,0,49,91940812.36,98.84%,874.3813059,874.3813059,205,10563,51.52594726
0-49999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,49,2000,42541.23,45000,2,36,91983353.59,98.88%,1181.700833,2431.700833,206,10599,51.45057858
50000-199999,M,Self,No,Salaried,1st,Single,Aggresive,Nagpur,29,6000,42026.63,161246.11,3,28,92025380.22,98.93%,1500.951071,7259.740714,207,10627,51.33729076
0-49999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,32,3000,39754.95,180162.43,10,56,92065135.17,98.97%,709.9098214,3927.096071,208,10683,51.35970764
0-49999,F,Alias,Yes,Salaried,2nd,Married,Moderate,Nagpur,44,2000,39696,0,0,20,92104831.17,99.02%,1984.8,1984.8,209,10703,51.20966119
0-49999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,27,3000,39132.36,29000,2,63,92143963.53,99.06%,621.1485714,1081.466032,210,10766,51.26580566
50000-199999,M,Self,Yes,Salaried,1st,Single,Moderate,Nagpur,23,11000,38985.02,176838.27,5,17,92182948.55,99.10%,2293.236471,12695.48765,211,10783,51.10340847
0-49999,M,Self,Yes,Business,2nd,Married,Moderate,other,54,2500,37673.44,0,0,16,92220621.99,99.14%,2354.59,2354.59,212,10799,50.93782636
0-49999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,51,0,37142.72,0,0,49,92257764.71,99.18%,758.9291352,758.9291352,213,10848,50.9284514
0-49999,M,Self,No,Business,1st,Single,Aggresive,Nagpur,20,22500,36288.63,32344.24,2,15,92294053.34,99.22%,2419.242,4575.524667,214,10863,50.76056144
0-49999,F,Self,Yes,Salaried,3rd,Single,Moderate,Nagpur,27,5000,35951.14,39000,4,60,92330004.48,99.26%,599.1856667,1249.185667,215,10923,50.80353557
50000-199999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,54,5000,34478.89,0,0,8,92364483.37,99.29%,4309.86125,4309.86125,216,10931,50.60537105
50000-199999,M,Self,Yes,Business,3rd,Married,Moderate,Nagpur,50,6000,34418.89,0,0,4,92398902.26,99.33%,8604.7225,8604.7225,217,10935,50.39059976
0-49999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,60,1000,34051.99,95000,2,86,92432954.25,99.37%,395.9533721,1500.604535,218,11021,50.55394563
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,54,4000,33447.18,382758.42,4,86,92466401.43,99.40%,388.9206977,4839.6,219,11107,50.71579976
50000-199999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,37,14000,32329.48,0,0,2,92498730.91,99.44%,16164.74,16164.74,220,11109,50.49436431
0-49999,M,Self,Yes,Salaried,1st,Single,Aggresive,Nagpur,26,4000,31397.46,281113.95,26,50,92530128.37,99.47%,627.9492,6250.2282,221,11159,50.49212736
0-49999,F,Alias,No,Business,1st,Married,Moderate,Nagpur,70,0,30502.99,0,0,49,92560631.36,99.51%,623.2609734,623.2609734,222,11208,50.48514012
0-49999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,32,0,29779.15,0,0,14,92590410.51,99.54%,2127.082143,2127.082143,223,11222,50.32152963
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,other,44,0,28627.68,50770.71,1,91,92619038.19,99.57%,314.5898901,872.5097802,224,11313,50.50312994
0-49999,M,Alias,No,Business,1st,Single,Aggresive,Nagpur,20,10000,28043.05,0,0,3,92647081.24,99.60%,9347.683333,9347.683333,225,11316,50.29200492
50000-199999,F,Self,Yes,Business,1st,Married,Moderate,other,38,3000,23029.27,0,0,6,92670110.51,99.62%,3838.211667,3838.211667,226,11322,50.0960226
50000-199999,M,Self,Yes,Business,1st,Married,Aggresive,Nagpur,42,3500,22414.43,292843.96,4,80,92692524.94,99.65%,280.180375,3940.729875,227,11402,50.22775818
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,34,5000,22391.68,0,0,4,92714916.62,99.67%,5597.92,5597.92,228,11406,50.02500486
50000-199999,M,Self,Yes,Salaried,3rd,Single,Aggresive,other,25,10000,20414,0,0,3,92735330.62,99.69%,6804.666667,6804.666667,229,11409,49.81965549
0-49999,F,Self,No,Salaried,2nd,Single,Moderate,other,21,8000,20294.83,0,0,3,92755625.45,99.72%,6764.943333,6764.943333,230,11412,49.61609177
0-49999,M,Self,Yes,Business,3rd,Single,Moderate,other,20,2000,20120.11,0,0,3,92775745.56,99.74%,6706.703333,6706.703333,231,11415,49.41429051
50000-199999,M,Self,No,Salaried,2nd,Single,Moderate,other,22,15000,18431.58,0,0,1,92794177.14,99.76%,18431.58,18431.58,232,11416,49.20560822
0-49999,M,Self,Yes,Salaried,1st,Married,Moderate,other,30,0,17444.89,38011.66,3,60,92811622.03,99.78%,290.7481667,924.2758333,233,11476,49.25193608
0-49999,F,Alias,No,Salaried,2nd,Married,Moderate,other,60,4000,17013.27,0,0,2,92828635.3,99.79%,8506.635,8506.635,234,11478,49.05000473
0-49999,F,Alias,Yes,Business,1st,Married,Moderate,Nagpur,31,2000,15053.78,130000,3,35,92843689.08,99.81%,430.108,4144.393714,235,11513,48.99021748
0-49999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,48,2000,13934.53,112998.29,3,60,92857623.61,99.82%,232.2421667,2115.547,236,11573,49.0368691
50000-199999,M,Self,Yes,Business,3rd,Married,Moderate,other,44,5000,13532.03,0,0,2,92871155.64,99.84%,6766.015,6766.015,237,11575,48.8384013
0-49999,F,Self,No,Salaried,2nd,Single,Moderate,other,22,5000,13510.23,0,0,3,92884665.87,99.85%,4503.41,4503.41,238,11578,48.64580297
50000-199999,M,Self,Yes,Business,3rd,Married,Moderate,other,41,5000,13222.45,0,0,2,92897888.32,99.87%,6611.225,6611.225,239,11580,48.45063225
0-49999,M,Alias,No,Business,1st,Single,Moderate,Nagpur,21,1000,11998.61,0,0,12,92909886.93,99.88%,999.8841667,999.8841667,240,11592,48.29875461
0-49999,F,Alias,Yes,Business,1st,Married,Moderate,Nagpur,41,1000,11676.49,50000,1,77,92921563.42,99.89%,151.6427273,800.9933766,241,11669,48.41784692
0-49999,F,Self,Yes,Salaried,2nd,Single,Moderate,Nagpur,24,3000,11044.32,0,0,2,92932607.74,99.91%,5522.16,5522.16,242,11671,48.22603763
0-49999,M,Self,Yes,Business,2nd,Single,Moderate,other,23,5000,9658.27,0,0,1,92942266.01,99.92%,9658.27,9658.27,243,11672,48.0316918
50000-199999,M,Self,Yes,Business,3rd,Married,Moderate,Nagpur,32,5000,9644.35,0,0,1,92951910.36,99.93%,9644.35,9644.35,244,11673,47.83893896
50000-199999,M,Self,No,Business,1st,Single,Moderate,Nagpur,29,2000,9090.32,0,0,4,92961000.68,99.94%,2272.58,2272.58,245,11677,47.66000452
0-49999,F,Self,No,Salaried,2nd,Single,Moderate,other,21,0,8253.61,0,0,49,92969254.29,99.94%,168.6442215,168.6442215,246,11726,47.66521165
50000-199999,M,Self,Yes,Salaried,1st,Married,Aggresive,Nagpur,48,1000,6345.2,48802.96,4,50,92975599.49,99.95%,126.904,1102.9632,247,11776,47.67466424
50000-199999,M,Self,Yes,Business,1st,Married,Aggresive,other,40,1000,6070.88,0,0,7,92981670.37,99.96%,867.2685714,867.2685714,248,11783,47.51065349
0-49999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,33,2000,5648.9,0,0,2,92987319.27,99.96%,2824.45,2824.45,249,11785,47.32787978
0-49999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,51,2000,5525.09,45000,1,12,92992844.36,99.97%,460.4241667,4210.424167,250,11797,47.18656827
50000-199999,M,Self,No,Salaried,2nd,Single,Moderate,other,22,5000,4949.64,0,0,1,92997794,99.98%,4949.64,4949.64,251,11798,47.00255803
0-49999,M,Self,No,Salaried,2nd,Single,Moderate,other,23,5000,4628.58,0,0,1,93002422.58,99.98%,4628.58,4628.58,252,11799,46.8200082
0-49999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,47,2000,3856.04,0,0,1,93006278.62,99.98%,3856.04,3856.04,253,11800,46.63890145
50000-199999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,50,2000,3692.91,0,0,1,93009971.53,99.99%,3692.91,3692.91,254,11801,46.45922073
0-49999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,49,11000,3461.54,208520.92,121,92,93013433.07,99.99%,37.62543478,2304.157174,255,11893,46.63781203
0-49999,F,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,41,0,2362.72,0,0,62,93015795.79,99.99%,38.1083871,38.1083871,256,11955,46.69782057
0-49999,F,Alias,No,Business,1st,Married,Aggresive,other,25,2000,1851.28,0,0,1,93017647.07,100.00%,1851.28,1851.28,257,11956,46.52000804
0-49999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,50,1000,1044.32,86431.36,7,92,93018691.39,100.00%,11.35130435,950.8226087,258,12048,46.69628708
0-49999,F,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,28,0,990.89,30500,5,85,93019682.28,100.00%,11.65752941,370.4810588,259,12133,46.84417786
50000-199999,F,Self,No,Salaried,1st,Married,Moderate,Nagpur,68,0,456.71,1279709.7,6,92,93020138.99,100.00%,4.96423913,13914.85228,260,12225,47.0178541
0-49999,F,Alias,No,Business,1st,Married,Moderate,Nagpur,56,0,244.38,61294.88,1,49,93020383.37,100.00%,4.993363492,1257.418341,261,12274,47.02522232
0-49999,M,Self,Yes,Salaried,2nd,Married,Moderate,other,37,0,187.33,58300,4,90,93020570.7,100.00%,2.081444444,649.8592222,262,12364,47.18924819
0-49999,F,Self,Yes,Salaried,1st,Married,Moderate,other,41,0,36.58,183112.82,2,91,93020607.28,100.00%,0.401978022,2012.630769,263,12455,47.355829
0-49999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,38,5000,0,0,0,13,93020607.28,100.00%,0,0,264,12468,47.22569328
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,41,10000,0,512489.75,5,45,93020607.28,100.00%,0,11388.66111,265,12513,47.21729444
0-49999,F,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,32,3000,0,216245.71,11,74,93020607.28,100.00%,0,2922.239324,266,12587,47.3179813
